code,name,sector
088340,유라클,핀테크/결제
294570,쿠콘,핀테크/결제
094480,갤럭시아머니트리,핀테크/결제
053580,웹케시,핀테크/결제
052400,코나아이,핀테크/결제
000810,삼성화재해상보험,금융/보험
003690,코리안리,금융/보험
031210,서울보증보험,금융/보험
001450,현대해상,금융/보험
005830,DB손해보험,금융/보험
000400,롯데손해보험,금융/보험
000540,흥국화재,금융/보험
000370,한화손해보험,금융/보험
032640,LG유플러스,통신
017670,SK텔레콤,통신
030200,케이티,통신
035420,NAVER,인터넷/플랫폼
035720,카카오,인터넷/플랫폼
195990,에이비프로바이오,제조/공작기계
010660,화천기계,제조/공작기계
089140,넥스턴바이오,제조/공작기계
101680,한국정밀기계,제조/공작기계
047400,유니온머티리얼,제조/공작기계
009160,SIMPAC,제조/공작기계
100660,서암기계공업,제조/공작기계
019210,와이지-원,제조/공작기계
000850,화천기공,제조/공작기계
025890,한국주강,제조/공작기계
129920,대성하이텍,제조/공작기계
003570,SNT다이내믹스,제조/공작기계
099440,스맥,제조/공작기계
187790,나노,신소재/2차전지소재
079980,휴비스,신소재/2차전지소재
000240,한국앤컴퍼니,신소재/2차전지소재
012320,경동인베스트,신소재/2차전지소재
015890,태경산업,신소재/2차전지소재
081150,티플랙스,신소재/2차전지소재
052460,아이크래프트,신소재/2차전지소재
357580,아모센스,신소재/2차전지소재
347000,센코,신소재/2차전지소재
267320,나인테크,신소재/2차전지소재
199800,툴젠,제약/바이오
226330,신테카바이오,제약/바이오
321550,티움바이오,제약/바이오
363250,진시스템,제약/바이오
127120,제이에스링크,제약/바이오
228760,지노믹트리,제약/바이오
394800,쓰리빌리언,제약/바이오
314130,지놈앤컴퍼니,제약/바이오
095700,제넥신,제약/바이오
225220,제놀루션,제약/바이오
092040,아미코젠,제약/바이오
046210,HLB파나진,제약/바이오
011000,진원생명과학,제약/바이오
950200,소마젠,제약/바이오
006280,녹십자,제약/바이오
373110,엑셀세라퓨틱스,제약/바이오
066700,테라젠이텍스,제약/바이오
348150,고바이오랩,제약/바이오
215600,신라젠,제약/바이오
187420,HLB제넥스,제약/바이오
308080,바이젠셀,제약/바이오
096530,씨젠,제약/바이오
456070,이엔셀,제약/바이오
137310,에스디바이오센서,제약/바이오
311690,CJ 바이오사이언스,제약/바이오
038290,마크로젠,제약/바이오
354200,엔젠바이오,제약/바이오
389030,지니너스,제약/바이오
229000,젠큐릭스,제약/바이오
064550,바이오니아,제약/바이오
084650,랩지노믹스,제약/바이오
461030,아이엠비디엑스,제약/바이오
340450,지씨지놈,제약/바이오
950130,엑세스바이오,제약/바이오
102940,코오롱생명과학,제약/바이오
084990,헬릭스미스,제약/바이오
372320,큐로셀,제약/바이오
331920,셀레믹스,제약/바이오
174900,앱클론,제약/바이오
083790,CG인바이츠,제약/바이오
092200,디아이씨,친환경/자원순환
260930,씨티케이,친환경/자원순환
138490,코오롱ENP,친환경/자원순환
340440,세림B&G,친환경/자원순환
285800,진영,친환경/자원순환
038110,에코플라스틱,친환경/자원순환
014970,삼륭물산,친환경/자원순환
037230,한국팩키지,친환경/자원순환
382150,온코크로스,AI/헬스케어
208370,셀바스헬스케어,AI/헬스케어
419540,비스토스,AI/헬스케어
388870,파로스아이바이오,AI/헬스케어
041920,메디아나,AI/헬스케어
458870,씨어스테크놀로지,AI/헬스케어
376930,노을,AI/헬스케어
328130,루닛,AI/헬스케어
223250,드림씨아이에스,AI/헬스케어
376900,로킷헬스케어,AI/헬스케어
393210,토마토시스템,AI/헬스케어
099750,이지케어텍,AI/헬스케어
288980,모아데이타,AI/헬스케어
033230,인성정보,AI/헬스케어
049180,셀루메드,AI/헬스케어
315640,딥노이드,AI/헬스케어
340810,시선AI,AI/헬스케어
380550,뉴로핏,AI/헬스케어
108860,셀바스AI,AI/헬스케어
060230,제이케이시냅스,AI/헬스케어
338220,뷰노,AI/헬스케어
384470,코어라인소프트,AI/헬스케어
322510,제이엘케이,AI/헬스케어
347700,스피어,AI/헬스케어
047770,코데즈컴바인,남북경협
033340,좋은사람들,남북경협
014990,인디에프,남북경협
093240,형지엘리트,남북경협
030960,양지사,남북경협
025980,아난티,남북경협
091590,남화토건,남북경협
009270,신원,남북경협
007110,일신석재,남북경협
001550,조비,남북경협
023800,인지컨트롤스,남북경협
026040,제이에스티나,남북경협
100700,세운메디칼,남북경협
049630,재영솔루텍,남북경협
004090,한국석유공업,남북경협
025860,남해화학,남북경협
002150,도화엔지니어링,남북경협
002100,경농,남북경협
037440,희림,남북경협
004000,롯데정밀화학,남북경협
017800,현대엘리베이터,남북경협
001260,남광토건,남북경협
013810,스페코,남북경협
058730,다스코,남북경협
015760,한국전력공사,남북경협
119850,지엔씨에너지,남북경협
000720,현대건설,남북경협
033240,자화전자,남북경협
067900,와이엔텍,친환경/자원순환
011370,서한,친환경/자원순환
009410,태영건설,친환경/자원순환
004150,한솔홀딩스,친환경/자원순환
060150,인선이엔티,친환경/자원순환
221800,유투바이오,제약/바이오
249420,일동제약,제약/바이오
214610,롤링스톤,제약/바이오
048530,인트론바이오,제약/바이오
206640,바디텍메드,제약/바이오
118000,메타케어,제약/바이오
185750,종근당,제약/바이오
377740,바이오노트,제약/바이오
206650,유바이오로직스,제약/바이오
205470,휴마시스,제약/바이오
053980,오상자이엘,제약/바이오
109820,진매트릭스,제약/바이오
005690,파미셀,제약/바이오
305090,마이크로디지탈,제약/바이오
069620,대웅제약,제약/바이오
243070,휴온스,제약/바이오
060590,씨티씨바이오,제약/바이오
038460,바이오스마트,제약/바이오
039860,나노엔텍,제약/바이오
101140,인바이오젠,제약/바이오
004720,팜젠사이언스,제약/바이오
036220,오상헬스케어,제약/바이오
317690,퀀타매트릭스,제약/바이오
142280,녹십자엠에스,제약/바이오
192650,드림텍,제약/바이오
253840,수젠텍,제약/바이오
286750,나노실리칸첨단소재,제약/바이오
335810,프리시젼바이오,제약/바이오
238120,얼라인드,제약/바이오
053950,경남제약,제약/바이오
114450,그린생명과학,제약/바이오
009420,한올바이오파마,제약/바이오
003060,에이프로젠바이오로직스,제약/바이오
047920,HLB제약,제약/바이오
317450,명인제약,제약/바이오
014950,삼익제약,제약/바이오
014570,고려제약,제약/바이오
023910,대한약품,제약/바이오
170900,동아에스티,제약/바이오
214390,경보제약,제약/바이오
299170,더블유에스아이,제약/바이오
016580,환인제약,제약/바이오
001060,JW중외제약,제약/바이오
128940,한미약품,제약/바이오
082800,비보존 제약,제약/바이오
034940,조아제약,제약/바이오
005500,삼진제약,제약/바이오
003520,영진약품,제약/바이오
017180,명문제약,제약/바이오
054670,대한뉴팜,제약/바이오
260660,알리코제약,제약/바이오
003000,부광약품,제약/바이오
006620,동구바이오제약,제약/바이오
326030,에스케이바이오팜,제약/바이오
307750,국전약품,제약/바이오
003220,대원제약,제약/바이오
009300,삼아제약,제약/바이오
207940,삼성바이오로직스,제약/바이오
012790,신일제약,제약/바이오
018680,서울제약,제약/바이오
002720,국제약품,제약/바이오
041910,폴라리스AI파마,제약/바이오
061250,화일약품,제약/바이오
183490,엔지켐생명과학,제약/바이오
000220,유유제약,제약/바이오
000020,동화약품,제약/바이오
003120,일성아이에스,제약/바이오
067290,JW신약,제약/바이오
003850,보령,제약/바이오
204840,지엘팜텍,제약/바이오
004310,현대약품,제약/바이오
067080,대화제약,제약/바이오
011040,경동제약,제약/바이오
293480,하나제약,제약/바이오
234690,녹십자웰빙,제약/바이오
001360,삼성제약,제약/바이오
001540,안국약품,제약/바이오
032300,한국파마,제약/바이오
000640,동아쏘시오홀딩스,제약/바이오
009290,광동제약,제약/바이오
033270,유나이티드,제약/바이오
330350,위더스제약,제약/바이오
007370,진양제약,제약/바이오
200780,비씨월드제약,제약/바이오
002390,한독,제약/바이오
058820,CMG제약,제약/바이오
271980,제일약품,제약/바이오
334970,프레스티지바이오로직스,제약/바이오
256940,킵스파마,제약/바이오
237690,에스티팜,제약/바이오
086450,동국제약,제약/바이오
068760,셀트리온제약,제약/바이오
200230,텔콘RF제약,제약/바이오
291650,압타머사이언스,제약/바이오
102460,이연제약,제약/바이오
314140,알피바이오,제약/바이오
950210,프레스티지바이오파마,제약/바이오
308430,셀비온,제약/바이오
195940,HK이노엔,제약/바이오
106190,하이텍팜,제약/바이오
019170,신풍제약,제약/바이오
002800,신신제약,제약/바이오
000100,유한양행,제약/바이오
000520,삼일제약,제약/바이오
000250,삼천당제약,제약/바이오
302440,SK바이오사이언스,제약/바이오
234080,JW생명과학,제약/바이오
309710,아이티켐,제약/바이오
027710,팜스토리,소비/레저
000140,하이트진로홀딩스,소비/레저
035810,이지홀딩스,소비/레저
027740,마니커,소비/레저
067160,SOOP,소비/레저
136480,하림,소비/레저
088910,동우팜투테이블,소비/레저
000080,하이트진로,소비/레저
034120,SBS,소비/레저
448760,IBKS제22호스팩,금융/SPAC·벤처
456490,교보14호스팩,금융/SPAC·벤처
000041,교보18호스팩,금융/SPAC·벤처
489210,교보17호스팩,금융/SPAC·벤처
482520,교보16호스팩,금융/SPAC·벤처
472220,신영스팩10호,금융/SPAC·벤처
450050,하이제8호스팩,금융/SPAC·벤처
496070,신한제16호스팩,금융/SPAC·벤처
478440,미래에셋비전스팩6호,금융/SPAC·벤처
000071,삼성스팩11호,금융/SPAC·벤처
489480,키움제11호스팩,금융/SPAC·벤처
469880,하나30호스팩,금융/SPAC·벤처
474660,신한제12호스팩,금융/SPAC·벤처
455250,KB제25호스팩,금융/SPAC·벤처
482690,대신밸런스제19호스팩,금융/SPAC·벤처
000044,삼성스팩10호,금융/SPAC·벤처
000072,KB제33호스팩,금융/SPAC·벤처
498390,한화플러스제5호스팩,금융/SPAC·벤처
471050,대신밸런스제17호스팩,금융/SPAC·벤처
493790,유안타제17호스팩,금융/SPAC·벤처
473000,SK증권제12호스팩,금융/SPAC·벤처
473370,비엔케이제2호스팩,금융/SPAC·벤처
492220,KB제31호스팩,금융/SPAC·벤처
475240,하나32호스팩,금융/SPAC·벤처
477340,에이치엠씨제7호스팩,금융/SPAC·벤처
477470,미래에셋비전스팩5호,금융/SPAC·벤처
477760,디비금융스팩12호,금융/SPAC·벤처
478390,KB제29호스팩,금융/SPAC·벤처
478780,대신밸런스제18호스팩,금융/SPAC·벤처
479880,한국제15호스팩,금융/SPAC·벤처
488060,유진스팩11호,금융/SPAC·벤처
481890,엔에이치스팩31호,금융/SPAC·벤처
487720,키움제10호스팩,금융/SPAC·벤처
482680,미래에셋비전스팩7호,금융/SPAC·벤처
484130,하나34호스팩,금융/SPAC·벤처
455910,SK증권제9호스팩,금융/SPAC·벤처
455310,한화플러스제4호스팩,금융/SPAC·벤처
457940,SK증권제10호스팩,금융/SPAC·벤처
452980,신한제11호스팩,금융/SPAC·벤처
452670,상상인제4호스팩,금융/SPAC·벤처
451700,엔에이치스팩29호,금융/SPAC·벤처
450940,유안타제14호스팩,금융/SPAC·벤처
446150,유안타제12호스팩,금융/SPAC·벤처
465320,교보15호스팩,금융/SPAC·벤처
444920,유안타제11호스팩,금융/SPAC·벤처
442770,IBKS제21호스팩,금융/SPAC·벤처
466910,엔에이치스팩30호,금융/SPAC·벤처
468760,유진스팩10호,금융/SPAC·벤처
469480,IBKS제24호스팩,금융/SPAC·벤처
469900,하나31호스팩,금융/SPAC·벤처
000037,KB제32호스팩,금융/SPAC·벤처
467930,IBKS제23호스팩,금융/SPAC·벤처
458610,한국제12호스팩,금융/SPAC·벤처
487360,신한제14호스팩,금융/SPAC·벤처
454640,하나29호스팩,금융/SPAC·벤처
457630,대신밸런스제16호스팩,금융/SPAC·벤처
462020,에이치엠씨제6호스팩,금융/SPAC·벤처
477380,미래에셋비전스팩4호,금융/SPAC·벤처
472230,SK증권제11호스팩,금융/SPAC·벤처
475250,하나33호스팩,금융/SPAC·벤처
464680,KB제27호스팩,금융/SPAC·벤처
000004,디비금융제14호스팩,금융/SPAC·벤처
489730,디비금융제13호스팩,금융/SPAC·벤처
474490,유안타제16호스팩,금융/SPAC·벤처
478110,이베스트스팩6호,금융/SPAC·벤처
474930,신한제13호스팩,금융/SPAC·벤처
487830,신한제15호스팩,금융/SPAC·벤처
486630,KB제30호스팩,금융/SPAC·벤처
473050,유안타제15호스팩,금융/SPAC·벤처
448830,미래에셋비전스팩3호,금융/SPAC·벤처
464440,한국제13호스팩,금융/SPAC·벤처
473950,SK증권제13호스팩,금융/SPAC·벤처
215380,우정바이오,제약/바이오
065950,웰크론,제약/바이오
180400,DXVX,제약/바이오
044480,빌리언스,제약/바이오
072020,중앙백신,제약/바이오
001340,PKC,제약/바이오
083550,케이엠,제약/바이오
018620,우진비앤지,제약/바이오
038070,서린바이오,제약/바이오
044960,이글벳,제약/바이오
045520,크린앤사이언스,제약/바이오
042040,케이피엠테크,제약/바이오
043200,파루,제약/바이오
195500,마니커에프앤지,식품/곡물
290720,푸드나무,식품/곡물
339770,교촌에프앤비,식품/곡물
066360,체리부로,식품/곡물
007460,에이프로젠,제약/바이오
068270,셀트리온,제약/바이오
086890,이수앱지스,제약/바이오
222110,팬젠,제약/바이오
067370,선바이오,제약/바이오
051910,LG화학,제약/바이오
053030,바이넥스,제약/바이오
196170,알테오젠,제약/바이오
038530,케이바이오,제약/바이오
041960,코미팜,제약/바이오
293780,압타바이오,제약/바이오
378800,샤페론,제약/바이오
007390,네이처셀,제약/바이오
217730,강스템바이오텍,제약/바이오
185490,아이진,제약/바이오
048410,현대바이오,제약/바이오
261780,차백신연구소,제약/바이오
289080,SV인베스트먼트,제약/바이오
214370,케어젠,제약/바이오
153710,옵티팜,제약/바이오
048870,시너지이노베이션,제약/바이오
003090,대웅,제약/바이오
263050,유틸렉스,제약/바이오
299660,셀리드,제약/바이오
141080,리가켐바이오,제약/바이오
087010,펩트론,제약/바이오
348080,큐라티스,제약/바이오
203400,에이비온,제약/바이오
256840,한국비엔씨,제약/바이오
144510,지씨셀,제약/바이오
085660,차바이오텍,제약/바이오
078160,메디포스트,제약/바이오
082640,동양생명,금융/보험
088350,한화생명,금융/보험
032830,삼성생명,금융/보험
085620,미래에셋생명,금융/보험
235980,메드팩토,제약/바이오
323990,박셀바이오,제약/바이오
028300,HLB,제약/바이오
950220,네오이뮨텍,제약/바이오
039200,오스코텍,제약/바이오
358570,지아이이노베이션,제약/바이오
424870,이뮨온시아,제약/바이오
115180,큐리언트,제약/바이오
224060,더코디,제약/바이오
365270,큐라클,제약/바이오
052020,에스티큐브,제약/바이오
298380,에이비엘바이오,제약/바이오
338840,와이바이오로직스,제약/바이오
250000,보라티알,소비/내수수혜
264900,크라운제과,소비/내수수혜
005360,모나미,소비/내수수혜
012700,리드코프,소비/내수수혜
084870,티비에이치글로벌,소비/내수수혜
004540,깨끗한나라,소비/내수수혜
001460,BYC,소비/내수수혜
002070,비비안,소비/내수수혜
012690,모나리자,소비/내수수혜
101530,해태제과식품,소비/내수수혜
013990,아가방컴퍼니,소비/내수수혜
005740,크라운해태홀딩스,소비/내수수혜
000890,보해양조,소비/내수수혜
204020,그리티,소비/내수수혜
014100,메디앙스,소비/내수수혜
267790,배럴,소비/내수수혜
140430,카티스,보안/물리보안
083640,인콘,보안/물리보안
424760,벨로크,보안/물리보안
092600,앤씨앤,보안/물리보안
143160,아이디스,보안/물리보안
039010,현대에이치티,보안/물리보안
006140,피제이전자,보안/물리보안
019490,엑시큐어하이트론,보안/물리보안
094840,슈프리마에이치큐,보안/물리보안
446840,지슨,보안/물리보안
417790,트루엔,보안/물리보안
303530,이노뎁,보안/물리보안
236200,슈프리마,보안/물리보안
087600,픽셀플러스,보안/물리보안
012750,에스원,보안/물리보안
356890,싸이버원,보안/물리보안
264850,이랜시스,보안/물리보안
489790,한화비전,보안/물리보안
331380,포커스에이아이,보안/물리보안
035600,KG이니시스,핀테크/결제
065440,이루온,핀테크/결제
046440,KG모빌리언스,핀테크/결제
036800,나이스정보통신,핀테크/결제
034310,NICE,핀테크/결제
025770,한국정보통신,핀테크/결제
373200,엑스플러스,핀테크/결제
060250,NHN KCP,핀테크/결제
038390,레드캡투어,소비/레저
403550,쏘카,소비/레저
089860,롯데렌탈,소비/레저
381970,케이카,소비/레저
330730,스톤브릿지벤처스,금융/SPAC·벤처
309960,LB인베스트먼트,금융/SPAC·벤처
026890,스틱인베스트먼트,금융/SPAC·벤처
277070,린드먼아시아,금융/SPAC·벤처
307930,컴퍼니케이,금융/SPAC·벤처
027830,대성창투,금융/SPAC·벤처
016600,큐캐피탈,금융/SPAC·벤처
452300,캡스톤파트너스,금융/SPAC·벤처
293580,나우IB,금융/SPAC·벤처
246690,TS인베스트먼트,금융/SPAC·벤처
440290,HB인베스트먼트,금융/SPAC·벤처
027360,아주IB투자,금융/SPAC·벤처
019550,SBI인베스트먼트,금융/SPAC·벤처
075130,플랜티넷,금융/SPAC·벤처
100790,미래에셋벤처투자,금융/SPAC·벤처
021080,에이티넘인베스트,금융/SPAC·벤처
041190,우리기술투자,금융/SPAC·벤처
241520,DSC인베스트먼트,금융/SPAC·벤처
019570,플루토스,금융/SPAC·벤처
054300,팬스타엔터프라이즈,AI/반도체
124500,아이티센글로벌,AI/반도체
317770,엑스페릭스,AI/반도체
389140,포바이포,AI/반도체
096250,와이즈넛,AI/반도체
069140,누리플랜,친환경/자원순환
079190,케스피온,친환경/자원순환
065510,휴비츠,친환경/자원순환
131030,옵투스제약,친환경/자원순환
021240,코웨이,친환경/자원순환
037070,파세코,친환경/자원순환
044340,위닉스,친환경/자원순환
068100,케이웨더,친환경/자원순환
066130,하츠,친환경/자원순환
352700,씨앤투스,친환경/자원순환
071840,롯데하이마트,친환경/자원순환
089980,상아프론테크,친환경/자원순환
080470,성창오토텍,친환경/자원순환
383310,에코프로에이치엔,친환경/자원순환
022100,포스코DX,친환경/자원순환
188260,세니젠,제약/바이오
005250,녹십자홀딩스,제약/바이오
002870,신풍,친환경/자원순환
009770,삼정펄프,친환경/자원순환
213500,한솔제지,친환경/자원순환
002310,아세아제지,친환경/자원순환
009460,한창제지,친환경/자원순환
034810,해성산업,친환경/자원순환
009200,무림페이퍼,친환경/자원순환
002200,한국수출포장공업,친환경/자원순환
001810,무림SP,친환경/자원순환
078130,국일제지,친환경/자원순환
001020,페이퍼코리아,친환경/자원순환
009580,무림P&P,친환경/자원순환
027970,한국제지,친환경/자원순환
057050,현대홈쇼핑,소비/유통
007070,GS리테일,소비/유통
023530,롯데쇼핑,소비/유통
003240,태광산업,소비/유통
035760,CJ ENM,소비/유통
338100,NH프라임리츠,부동산/리츠
365550,ESR켄달스퀘어리츠,부동산/리츠
348950,제이알글로벌리츠,부동산/리츠
396690,미래에셋글로벌리츠,부동산/리츠
432320,KB스타리츠,부동산/리츠
377190,디앤디플랫폼리츠,부동산/리츠
350520,이지스레지던스리츠,부동산/리츠
357430,마스턴프리미어리츠,부동산/리츠
293940,신한알파리츠,부동산/리츠
357250,미래에셋맵스리츠,부동산/리츠
145270,케이탑리츠,부동산/리츠
357120,코람코라이프인프라리츠,부동산/리츠
000030,대신밸류리츠,부동산/리츠
448730,삼성FN리츠,부동산/리츠
451800,한화리츠,부동산/리츠
088260,이리츠코크렙,부동산/리츠
404990,신한서부티엔디리츠,부동산/리츠
400760,NH올원리츠,부동산/리츠
395400,SK리츠,부동산/리츠
481850,신한글로벌액티브리츠,부동산/리츠
330590,롯데리츠,부동산/리츠
334890,이지스밸류플러스리츠,부동산/리츠
417310,코람코더원리츠,부동산/리츠
016590,신대양제지,친환경/자원순환
017650,대림제지,친환경/자원순환
006740,블루산업개발,친환경/자원순환
011280,태림포장,친환경/자원순환
016100,리더스코스메틱,친환경/자원순환
014160,대영포장,친환경/자원순환
023600,삼보판지,친환경/자원순환
123750,알톤,소비/레저
024950,삼천리자전거,소비/레저
065450,빅텍,소비/레저
069640,한세엠케이,소비/레저
070960,모나용평,소비/레저
100120,뷰웍스,소비/레저
215000,골프존,소비/레저
019010,베뉴지,소비/레저
121440,골프존홀딩스,소비/레저
122450,KX,소비/레저
308100,형지글로벌,소비/레저
111710,남화산업,소비/레저
081660,미스토홀딩스,소비/레저
110790,크리스에프앤씨,소비/레저
300120,라온피플,소비/레저
365900,브이씨,소비/레저
011080,형지I&C,소비/유통
090370,메타랩스,소비/유통
008290,원풍물산,소비/유통
306040,에스제이그룹,소비/유통
366030,공구우먼,소비/유통
007980,TP,소비/유통
005800,신영와코루,소비/유통
020000,한섬,소비/유통
225590,패션플랫폼,소비/유통
194370,제이에스코퍼레이션,소비/유통
105630,한세실업,소비/유통
111380,동인기연,소비/유통
098660,에스티오,소비/유통
462310,뉴키즈온,소비/유통
008600,윌비스,소비/유통
004060,SG세계물산,소비/유통
478560,블랙야크아이앤씨,소비/유통
298540,더네이쳐홀딩스,소비/유통
036620,감성코퍼레이션,소비/유통
337930,젝시믹스,소비/유통
064800,포니링크,소비/유통
111770,영원무역,소비/유통
016090,대현,소비/유통
088790,진도,소비/유통
093050,LF,소비/유통
145170,노브랜드,소비/유통
006060,화승인더스트리,소비/유통
215480,토박스코리아,소비/유통
900110,이스트아시아홀딩스,소비/유통
241590,화승엔터프라이즈,소비/유통
383220,F&F,소비/유통
111110,호전실업,소비/유통
031430,신세계인터내셔날,소비/유통
065060,지엔코,소비/유통
335870,윙스풋,소비/유통
028260,삼성물산,소비/유통
472850,폰드그룹,소비/유통
000680,LS네트웍스,소비/유통
005320,온타이드,소비/유통
109670,씨싸이트,소비/유통
120110,코오롱인더,소비/유통
481070,에이유브랜즈,소비/유통
039980,폴라리스AI,소비/유통
278470,에이피알,소비/유통
347850,디앤디파마텍,제약/바이오
439580,블루엠텍,제약/바이오
196300,HLB펩,제약/바이오
214260,라파스,제약/바이오
456160,지투지바이오,제약/바이오
078140,대봉엘에스,제약/바이오
138610,나이벡,제약/바이오
226950,올릭스,제약/바이오
389470,인벤티지랩,제약/바이오
